,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,city_name
5753,37.0,1560.0,275.0,763.0,284.0,3.8516,<1H OCEAN,206900.0,Northridge
7503,24.0,1605.0,277.0,1966.0,250.0,3.0833,INLAND,162500.0,Elk Grove
4920,32.0,1263.0,333.0,1789.0,346.0,1.9957,<1H OCEAN,89300.0,Lynwood
8122,7.0,479.0,84.0,327.0,103.0,5.1728,INLAND,107500.0,Lemoore
5742,39.0,1173.0,269.0,702.0,232.0,1.6146,INLAND,53100.0,Porterville
8321,17.0,2280.0,453.0,976.0,434.0,2.71,INLAND,97800.0,Redding
5979,32.0,1116.0,328.0,1265.0,302.0,2.295,<1H OCEAN,155200.0,South Gate
9492,20.0,3506.0,692.0,1977.0,668.0,2.981,NEAR OCEAN,129100.0,La Presa
2397,6.0,8803.0,1114.0,3385.0,1010.0,8.7288,<1H OCEAN,425800.0,Thousand Oaks
6604,19.0,1127.0,170.0,518.0,167.0,6.3325,<1H OCEAN,250000.0,Dublin
3182,41.0,1268.0,398.0,1887.0,407.0,2.625,<1H OCEAN,150000.0,Boyle Heights
4153,41.0,2189.0,414.0,1063.0,409.0,4.7361,NEAR OCEAN,302600.0,South San Francisco
7704,24.0,1723.0,223.0,707.0,219.0,7.0352,<1H OCEAN,299600.0,Yorba Linda
4877,23.0,1398.0,388.0,1112.0,406.0,2.2366,NEAR BAY,140200.0,Napa
9002,31.0,677.0,144.0,523.0,159.0,2.4598,INLAND,97100.0,Ripon
13714,34.0,584.0,176.0,625.0,166.0,1.5809,INLAND,100000.0,Coachella
8598,4.0,23915.0,4135.0,10877.0,3958.0,4.6357,NEAR OCEAN,244900.0,Vista
12466,17.0,2401.0,409.0,1100.0,409.0,4.0577,INLAND,107300.0,Visalia
2882,16.0,2092.0,489.0,877.0,392.0,3.0461,<1H OCEAN,216900.0,Laguna Hills
12755,29.0,2843.0,603.0,1517.0,573.0,2.6658,INLAND,106900.0,Palmdale
13148,28.0,1246.0,295.0,884.0,258.0,1.4397,INLAND,51700.0,Rio Linda
8257,17.0,5565.0,1237.0,3004.0,1139.0,3.0054,<1H OCEAN,142300.0,Escondido
1447,30.0,3096.0,628.0,1676.0,587.0,4.6583,<1H OCEAN,207300.0,Downey
823,11.0,2838.0,498.0,1701.0,504.0,4.1447,INLAND,114000.0,La Riviera
1878,14.0,3776.0,580.0,1877.0,559.0,5.1365,INLAND,215000.0,El Cerrito
4452,40.0,1875.0,460.0,869.0,438.0,3.2321,<1H OCEAN,243600.0,Burbank
3307,27.0,4580.0,918.0,2252.0,850.0,4.7926,<1H OCEAN,454400.0,Northridge
6732,28.0,3333.0,752.0,2026.0,722.0,3.5667,<1H OCEAN,190700.0,Placentia
7607,39.0,512.0,132.0,443.0,127.0,1.2857,INLAND,60000.0,Shackelford
11238,24.0,2282.0,423.0,1167.0,398.0,3.8214,INLAND,116100.0,Waterford
11445,17.0,2414.0,594.0,2487.0,582.0,1.0955,INLAND,62700.0,Merced
9193,34.0,1396.0,245.0,661.0,261.0,4.675,<1H OCEAN,215400.0,Fullerton
