,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,city_name
1361,16.0,1791.0,518.0,1006.0,491.0,3.5179,NEAR OCEAN,129300.0,San Diego
4534,25.0,4707.0,695.0,1995.0,642.0,6.6437,<1H OCEAN,296100.0,Campbell
10548,33.0,1984.0,289.0,842.0,276.0,5.2949,INLAND,173300.0,Fair Oaks
4805,35.0,2240.0,423.0,1394.0,396.0,3.1799,INLAND,86700.0,Colton
5273,8.0,943.0,189.0,475.0,155.0,4.9327,INLAND,89500.0,Clovis
9341,15.0,4760.0,871.0,2459.0,734.0,2.811,<1H OCEAN,142100.0,Shandon
955,41.0,2151.0,473.0,1092.0,469.0,3.7321,<1H OCEAN,250000.0,Burbank
11362,16.0,2037.0,464.0,1267.0,451.0,2.4556,INLAND,97100.0,Yuba City
4433,48.0,1690.0,339.0,962.0,317.0,3.2875,NEAR OCEAN,221500.0,Daly City
345,13.0,2685.0,621.0,2474.0,573.0,2.8775,<1H OCEAN,134100.0,Gonzales
13189,30.0,413.0,98.0,400.0,112.0,4.0,NEAR OCEAN,219200.0,Saticoy
8771,20.0,2512.0,449.0,1464.0,450.0,3.9211,INLAND,92300.0,Fowler
11253,9.0,4609.0,798.0,2582.0,746.0,4.3429,<1H OCEAN,173900.0,Bonsall
5736,49.0,3367.0,523.0,1317.0,495.0,6.706,<1H OCEAN,351400.0,San Marino
1905,25.0,207.0,41.0,87.0,43.0,3.6023,INLAND,131300.0,Del Rio
100,34.0,2600.0,650.0,1994.0,650.0,4.0223,<1H OCEAN,250200.0,Sunnyvale
10230,35.0,865.0,226.0,602.0,217.0,3.0,NEAR OCEAN,229100.0,San Bruno
7371,37.0,2059.0,349.0,825.0,334.0,4.0603,<1H OCEAN,225200.0,Hawaiian Gardens
8775,21.0,4383.0,901.0,2689.0,913.0,3.4375,<1H OCEAN,218800.0,West Carson
1398,30.0,1821.0,738.0,1648.0,684.0,0.8836,NEAR BAY,450000.0,San Francisco
13450,5.0,2652.0,606.0,1767.0,536.0,2.8025,INLAND,84300.0,El Centro
6079,27.0,3900.0,776.0,1549.0,761.0,2.7788,INLAND,115700.0,Carmichael
1613,34.0,2716.0,1114.0,2991.0,1021.0,1.7514,<1H OCEAN,187500.0,Silver Lake
