,latitude,longitude,city_name
0,36.73,-119.79,Fresno
1,37.77,-122.21,Alameda
2,33.87,-118.04,La Palma
3,34.06,-118.28,Echo Park
4,36.73,-119.81,Fresno
5,33.8,-117.79,Villa Park
6,33.81,-117.8,Villa Park
7,38.69,-121.26,Citrus Heights
8,33.48,-117.65,San Juan Capistrano
9,37.97,-122.27,El Sobrante
10,37.28,-121.94,Campbell
11,37.44,-121.9,Milpitas
12,34.05,-118.15,Belvedere
13,33.96,-117.5,Pedley
14,38.64,-121.33,Carmichael
15,33.4,-115.99,Desert Shores
16,32.68,-117.09,National City
17,34.7,-118.14,Lancaster
18,38.2,-120.9,Valley Springs
19,38.5,-121.51,Parkway
20,34.14,-117.32,Muscoy
21,34.13,-117.34,Muscoy
22,38.61,-121.53,West Sacramento
23,34.08,-118.27,Silver Lake
24,38.77,-120.84,Placerville
25,36.76,-120.38,Mendota
26,33.93,-118.2,Lynwood
27,38.57,-121.52,West Sacramento
28,38.68,-121.09,El Dorado Hills
29,33.82,-117.54,El Cerrito
30,37.98,-121.33,Country Club
31,36.53,-119.29,Cutler
32,36.8,-119.83,Fresno
33,34.09,-118.12,Alhambra
34,33.67,-118.31,San Pedro
35,34.11,-118.24,Glendale
36,38.31,-122.27,Napa
37,33.77,-117.62,Portola Hills
38,37.28,-121.95,Campbell
39,33.87,-117.88,Placentia
40,35.63,-117.68,Ridgecrest
41,37.3,-121.92,Buena Vista
42,34.21,-118.85,Thousand Oaks
43,37.37,-122.21,Portola Valley
44,37.6,-122.41,Millbrae
45,33.91,-117.59,Corona
46,37.32,-121.86,San Jose
47,33.65,-118.02,Huntington Beach
48,37.71,-122.43,Daly City
49,33.97,-118.15,Bell Gardens
50,37.88,-122.26,Berkeley
51,32.7,-117.02,La Presa
52,33.94,-118.26,Willowbrook
53,34.19,-118.14,Altadena
54,38.67,-121.36,Foothill Farms
55,36.94,-119.9,Bonadelle Ranchos-Madera Ranchos
56,38.0,-121.85,Antioch
57,37.06,-120.85,Los Banos
58,36.71,-119.81,West Park
59,34.08,-118.21,Los Angeles
60,39.13,-121.65,South Yuba City
61,34.44,-119.74,Mission Canyon
62,37.39,-122.03,Sunnyvale
63,33.48,-117.69,Dana Point
64,37.36,-122.04,Sunnyvale
65,37.84,-122.25,Piedmont
66,34.22,-118.43,Van Nuys
67,34.02,-118.27,Los Angeles
68,33.71,-118.04,Westminster
69,37.29,-121.91,Buena Vista
70,40.22,-124.0,Redway
71,33.68,-117.82,Irvine
72,40.88,-123.98,Blue Lake
73,37.26,-121.99,Monte Sereno
74,37.36,-120.6,Atwater
75,33.95,-118.31,Westmont
76,33.8,-118.22,Long Beach
77,37.93,-122.05,Waldon
78,36.68,-121.64,Salinas
79,34.05,-117.75,Pomona
80,33.21,-117.25,Vista
81,34.17,-118.29,Burbank
82,38.36,-122.7,Rohnert Park
83,38.58,-121.49,Sacramento
84,36.97,-122.04,Santa Cruz
85,37.9,-122.28,Kensington
86,34.17,-118.85,Thousand Oaks
87,37.53,-122.02,Newark
88,38.61,-121.47,Sacramento
89,33.51,-117.72,Laguna Niguel
90,34.35,-117.31,Hesperia
91,38.69,-121.38,North Highlands
92,32.77,-117.17,San Diego
93,35.39,-119.12,Greenacres
94,33.84,-117.88,Placentia
95,39.25,-121.2,Lake Wildwood
96,37.97,-121.26,August
97,34.26,-117.22,Lake Arrowhead
98,37.51,-122.47,El Granada
99,37.53,-120.84,Turlock
100,33.94,-118.02,La Mirada
101,35.6,-117.68,Ridgecrest
102,33.84,-118.36,Torrance
103,34.07,-117.31,Colton
104,40.79,-124.16,Eureka
105,38.27,-122.42,Sonoma
106,33.63,-117.92,Costa Mesa
107,40.8,-124.13,Myrtletown
108,37.59,-122.02,Union City
109,34.02,-118.31,View Park-Windsor Hills
110,37.77,-120.85,Oakdale
111,38.31,-122.24,Napa
112,37.26,-121.8,Seven Trees
113,37.75,-122.42,San Francisco
114,34.03,-118.29,Los Angeles
115,33.72,-117.93,Fountain Valley
116,38.09,-120.46,Murphys
117,33.64,-117.75,Laguna Woods
118,33.05,-116.86,Ramona
